Total Number of Records            962.
             DATA SET: https://mynasadata.larc.nasa.gov/thredds/dodsC/MERRA2_T2M_agg
             X: 0.5 to 962.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (months since 01-JAN-1980)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: T2M_ is Monthly Surface Temperature (degrees Celsius)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,T2M_
"JAN-1980",0,24.375,42,-5.84125  
"JAN-1980",0,25,42,-3.54462  
"JAN-1980",1,24.375,42,-2.18427  
"JAN-1980",1,25,42,-0.3078  
"MAR-1980",2,24.375,42,2.10742  
"MAR-1980",2,25,42,4.13165  
"APR-1980",3,24.375,42,6.36075  
"APR-1980",3,25,42,9.13864  
"MAY-1980",4,24.375,42,11.1591  
"MAY-1980",4,25,42,13.968  
"JUN-1980",5,24.375,42,16.4646  
"JUN-1980",5,25,42,19.5562  
"JUL-1980",6,24.375,42,19.7194  
"JUL-1980",6,25,42,23.0772  
"AUG-1980",7,24.375,42,18.343  
"AUG-1980",7,25,42,21.2077  
"AUG-1980",8,24.375,42,13.7733  
"AUG-1980",8,25,42,16.2846  
"SEP-1980",9,24.375,42,10.7586  
"SEP-1980",9,25,42,13.7085  
"OCT-1980",10,24.375,42,5.82529  
"OCT-1980",10,25,42,8.11093  
"NOV-1980",11,24.375,42,0.0278931  
"NOV-1980",11,25,42,2.21631  
"DEC-1980",12,24.375,42,-5.40503  
"DEC-1980",12,25,42,-3.10815  
"JAN-1981",13,24.375,42,-2.35431  
"JAN-1981",13,25,42,-0.136871  
"MAR-1981",14,24.375,42,5.3703  
"MAR-1981",14,25,42,7.43829  
"APR-1981",15,24.375,42,7.59891  
"APR-1981",15,25,42,10.0805  
"MAY-1981",16,24.375,42,11.6505  
"MAY-1981",16,25,42,14.0652  
"JUN-1981",17,24.375,42,19.4689  
"JUN-1981",17,25,42,22.8678  
"JUL-1981",18,24.375,42,18.5433  
"JUL-1981",18,25,42,21.9448  
"AUG-1981",19,24.375,42,18.3876  
"AUG-1981",19,25,42,21.9267  
"AUG-1981",20,24.375,42,15.6228  
"AUG-1981",20,25,42,18.6289  
"OCT-1981",21,24.375,42,12.3114  
"OCT-1981",21,25,42,14.931  
"OCT-1981",22,24.375,42,1.04395  
"OCT-1981",22,25,42,4.2088  
"DEC-1981",23,24.375,42,0.960388  
"DEC-1981",23,25,42,3.39172  
"DEC-1981",24,24.375,42,-2.02847  
"DEC-1981",24,25,42,-0.63443  
"JAN-1982",25,24.375,42,-3.98419  
